Make,Model,Software,HostComputer,LensSpecification,LensMake,LensModel
Acer Inc.,C01,,,,,
ACER,CE-5330,V1.00,,,,
Acer,CE6430,V0.21,,,,
Acer Corporation,CI6330,V1.00,,,,
acer,CI-8330,1.0004.2A,,,,
Digital Camera,CL-5300,1.01ver.,,,,
Acer,CL-6300,1.00.004AC,,,,
acer,CP-8531,V0.23,,,,
Acer,CP-8660,Ver 1.03,,,,
acer,CR8530,Ver 1.00,,,,
ACER,CS5531,1.06ACE,,,,
acer,CS6530,Ver 1.00,,,,
acer,CS-6531,V0.42,,,,
acer,CU-6530,Ver 1.01,,,,
ACER,DX650,ACER Camera,,,,
ACER,ACER E101,ACER Camera,,,,
Acer,Acer Liquid,,,,,
Acer,Liquid Metal,,,,,
Acer,M900,Ver 02.1006,,,,
ACER,ACER S200,ACER Camera,,,,
Acer,Acer Stream,,,,,
ACER,X960,ACER Camera,,,,
,,,,,,
,,,,,,
,,,,,,
Agfa,ePhoto CL30,1.70C,,,,
Agfa Gevaert,SR841,v841-72,,,,
AgfaPhoto,sensor 505-D,Sensor 505-D.00.47,,,,
AGFA,ARCUS II,Adobe Photoshop 7.0,,,,
AgfaPhoto,Compact 100,0.9600,,,,
AgfaPhoto,Compact 102,0.9600,,,,
AGFAPHOTO,DC-1033m,0.8402,,,,
AGFAPHOTO,DC-2030m,Ver 922,,,,
AGFAPHOTO,DC-302,V0.2.1.L,,,,
AGFAPHOTO,DC-500,V7.4.0.5,,,,
AgfaPhoto,DC-600uw,M6131A-0208,,,,
AGFAPHOTO,DC-733s,1.0800,,,,
AGFAPHOTO,DC-833m,0.7700,,,,
AgfaPhoto,OPTIMA 100,1.0500,,,,
AgfaPhoto,OPTIMA 102,1.0500,,,,
AgfaPhoto,OPTIMA 103,1.4100,,,,
AgfaPhoto,OPTIMA 104,1.3700,,,,
AgfaPhoto,OPTIMA 105,1.4200,,,,
AGFAPHOTO,OPTIMA 1338mT,0.59.01,,,,
AgfaPhoto,OPTIMA 1438m,V1.03    AVIT,,,,
AGFAPHOTO,OPTIMA 2338mT,0.40.00.00,,,,
AGFAPHOTO,OPTIMA 8328m,0.7201,,,,
Agfa,SnapScan e25,,,,,
Agfa Gevaert,SR841,v841p-73,,,,
Aiptek International Inc.,iDV,1.50.4,,,,
AIPTEK,DV Cam2,COACHWare 1.0,,,,
Aiptek International Inc.,DV M2,3.20.0,,,,
,Camera,,,,,
AIPTEK,DV 5000,COACHWare 1.0,,,,
AIPTEK,DV 5700,COACHWare 1.0,,,,
AIPTEK,DV 6800,COACHWare 1.0,,,,
AIPTEK,DV 6800S,COACHWare 1.0,,,,
AIPTEK,DV 8800,COACHWare 1.0,,,,
AIPTEK,DV 8800N,COACHWare 1.0,,,,
